------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
121,B0154+61,dls72,2.35174493646,7,hlk+04,1.889254E-13,5,hlk+04
122,J0158+21,dsm+13,0.5053,0,dmo+24,*,0,*
123,J0201+7005,kkl+15,1.349184471846,10,kkl+15,5.5144E-15,15,kkl+15
124,J0203-0150,mzl+23,0.0051733218641960,4,mzl+23,1.4281E-20,11,mzl+23
125,J0205+6449,mss+02,0.06571592849324,9,lrc+09,1.93754256E-13,4,lrc+09
,,,,,,,,
126,B0203-40,mlt+78,0.630551259569,4,jbv+19,1.1966E-15,3,jbv+19
127,J0209+4331,crafts23,0.863882616200,3,wyw+23,5.72E-17,6,wyw+23
128,J0209+5759,gac+21,1.063906282526,14,gac+21,1.39190E-14,14,gac+21
129,J0210+5845,scb+19,1.766218932442,19,vbj+24,1.516787E-13,19,vbj+24
130,J0211+4235,crafts23,0.3507309921413,4,wyw+23,1.11E-18,13,wyw+23
,,,,,,,,
131,J0211-8159,lml+98,1.0773327013,8,dsb+98,2.9E-16,2,dsb+98
132,J0212+5222,bck+13,0.3763863640606,15,lsk+18,6.5993E-15,13,lsk+18
133,J0214+5222,slr+14,0.024575294816349,3,flm+23,2.9596E-19,5,flm+23
134,J0215+6218,llc98,0.548879819155,3,hlk+04,6.6212E-16,3,hlk+04
135,J0218+4232,nbf+95,0.00232309053151224,8,dcl+16,7.73955E-20,7,dcl+16
,,,,,,,,
136,J0220+36,ttk+24,*,0,*,*,0,*
137,J0220+3626,ttol16,1.0297,0,dmo+24,*,0,*
138,J0227+3356,dcm+23,1.240102460176,4,dcm+23,2.8515E-15,11,dcm+23
139,J0229+20,dsm+13,0.8069,0,dmo+24,*,0,*
140,B0226+70,dtws85,1.466820306152,7,hlk+04,3.10998E-15,7,hlk+04
,,,,,,,,
141,J0241+16,dsm+13,1.5454,0,dmo+24,*,0,*
142,J0242+62,hrk+08,0.592,0,hrk+08,*,0,*
143,J0243+6027,hrk+08,1.473,0,hrk+08,*,0,*
144,J0244+14,dsm+13,2.1281,0,dsm+13,*,0,*
145,J0248+4230,brj+21,0.0026008347856317,3,brj+21,1.6873E-20,5,brj+21
,,,,,,,,
146,J0248+6021,tpc+11,0.217094,5,tpc+11,5.509E-14,5,tpc+11
147,J0250+5854,tbc+18,23.5353784760,10,tbc+18,2.716E-14,7,tbc+18
148,J0251+2606,cck+16,0.0025415543469461,3,drc+21,7.572E-21,8,drc+21
149,B0254-53,lvw69b,0.4477084731988,3,jbv+19,3.129E-17,3,jbv+19
150,J0301+35,mgf+19,0.56804,4,dmo+24,*,0,*
,,,,,,,,
151,J0302+2252,ttol16,1.207165,0,dmo+24,8.250E-17,10,mbc+20
152,B0301+19,fss73,1.387584446262,3,hlk+04,1.295235E-15,20,hlk+04
153,J0305+11,scb+19,0.8621,0,dmo+24,*,0,*
154,J0307+7443,hrm+11,0.003156088688500,3,saa+23,1.726E-20,10,saa+23
155,J0312-0921,trr+21,0.0037043355330862,3,saa+23,1.9723E-20,6,saa+23
,,,,,,,,
156,J0317+13,ttm18,1.9743,0,dmo+24,*,0,*
157,J0318+0253,wlz+18,0.0051898521745201,14,wlc+21,1.762E-20,3,wlc+21
158,B0320+39,dth78,3.032071956385,10,hlk+04,6.3562E-16,7,hlk+04
159,J0324+5239,bck+13,0.336620230291,3,bck+13,3.81E-16,3,bck+13
