------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
,,,,,,,,
1771,B1730-22,dls73,0.871682832986,3,hlk+04,4.2703E-17,10,hlk+04
1772,J1733-2533,lfl+06,0.65979414168,4,lfl+06,2.100E-15,5,lfl+06
1773,J1733-2837,lfl+06,0.76818455674,6,lfl+06,1.108E-15,8,lfl+06
1774,J1733-3030,hfs+04,0.362051962860,14,hfs+04,1.6485E-15,11,hfs+04
1775,J1733-3322,mhl+02,1.24591463402,8,mhl+02,4.10E-15,3,mhl+02
,,,,,,,,
1776,B1730-37,jlm+92,0.33759499958,13,hly+20,1.50446E-14,3,hly+20
1777,J1733-4005,hfs+04,0.561778329077,13,hfs+04,3.624E-15,3,hfs+04
1778,J1733-5515,bbb+12,1.011233535,8,bbb+12,4.0E-16,20,bbb+12
1779,B1732-02,dtws85,0.839394324968,9,hlk+04,4.2100E-16,8,hlk+04
1780,J1734-2415,lfl+06,0.61252373999,12,lfl+06,1.051E-15,12,lfl+06
,,,,,,,,
1781,J1734-2859,ccb+20,0.301455877926,9,ccb+20,8.0E-18,6,ccb+20
1782,J1734-3058,ncb+15,0.541285680730,5,ncb+15,1.62E-17,5,ncb+15
1783,J1734-3333,mhl+02,1.169340685,5,elk+11,2.27941E-12,5,elk+11
1784,J1735+6320,scb+19,0.5107181354080,10,mbc+20,3.226E-16,4,mbc+20
1785,J1735-0243,blr+13,0.7828869765,5,blr+13,6.32E-16,12,blr+13
,,,,,,,,
1786,B1732-07,ll76,0.4193349661853,11,hlk+04,1.214735E-15,9,hlk+04
1787,J1735-25,sbb+23,118.68265e-3,0,mmr+24,*,0,*
1788,J1735-3258,mhl+02,0.350971731451,3,psj+19,2.60044E-14,4,psj+19
1789,J1736+05,cnst96,0.999245,3,cnst96,*,0,*
1790,J1736-2457,lfl+06,2.64222343904,14,lfl+06,3.43E-15,3,lfl+06
,,,,,,,,
1791,J1736-2819,hfs+04,1.59241948019,13,hfs+04,1.4921E-14,13,hfs+04
1792,J1736-2843,hfs+04,6.4450360861,17,hfs+04,2.999E-14,17,hfs+04
1793,J1736-3422,nie+20,0.347222,0,nie+20,6.56e-14,0,nie+20
1794,J1736-3511,kbm+03,0.50280278290,13,kbm+03,1.57E-15,8,kbm+03
1795,J1737-0314A,pqm+21,0.00197997624609088,16,pqm+21,9.5561E-20,12,pqm+21
,,,,,,,,
1796,J1737-0314B,pqm+21,0.00852,0,pqm+21,*,0,*
1797,J1737-0314C,pqm+21,0.00846,0,pqm+21,*,0,*
1798,J1737-0314D,pqm+21,0.00289,0,pqm+21,*,0,*
1799,J1737-0314E,pqm+21,0.00228,0,pqm+21,*,0,*
1800,J1737-0811,blr+13,0.0041750173128551,8,blr+13,7.93E-21,8,blr+13
,,,,,,,,
1801,J1737-3102,mhl+02,0.76867227339,5,mhl+02,3.7334E-14,6,mhl+02
1802,J1737-3137,mhl+02,0.45043236999,7,mhl+02,1.38756E-13,3,mhl+02
1803,J1737-32,sbb+23,634.05961e-3,0,mmr+24,*,0,*
1804,J1737-3320,hfs+04,0.81627308018,6,hfs+04,2.251E-15,6,hfs+04
1805,B1734-35,jlm+92,0.397584746441,3,jml+95,6.1214E-15,2,jml+95
,,,,,,,,
1806,J1738+0333,jac05,0.0058500958606095,3,abb+23,2.41177E-20,14,abb+23
1807,J1738+04,dsm+16,1.39179,0,dsm+16,*,0,*
1808,J1738-2330,lfl+06,1.97884743163,4,lfl+06,8.559E-15,4,lfl+06
1809,J1738-2647,hfs+04,0.34959099098,5,hfs+04,3.153E-15,15,hfs+04
1810,J1738-2736,ncb+15,0.627715518484,19,ncb+15,4.6243E-15,7,ncb+15
,,,,,,,,
1811,J1738-2955,mhl+02,0.44342528830,4,psj+19,8.2022E-14,3,psj+19
1812,J1738-3107,hfs+04,0.54949769829,13,hfs+04,3.0E-16,7,hfs+04
1813,B1735-32,cjlm87,0.768498945480,3,hlk+04,7.94911E-16,18,hlk+04
1814,J1738-3316,hfs+04,0.73037251102,5,hfs+04,8.9E-17,4,hfs+04
1815,J1739+0612,jbo+09,0.234169035616,3,jbo+09,1.5640E-16,12,jbo+09
,,,,,,,,
1816,J1739-1313,ebvb01,1.215697613611,9,ebvb01,8.17E-17,9,ebvb01
1817,J1739-2521,cbmp17,1.8184611929,3,jcs+17,2.4E-16,2,jcs+17
1818,B1736-29,cl86,0.322886477381,6,psj+19,7.87490E-15,8,psj+19
1819,J1739-3023,mhl+02,0.114371728447,18,psj+19,1.139514E-14,3,psj+19
1820,J1739-3049,mhl+02,0.239317178406,18,mhl+02,2.1781E-15,18,mhl+02
,,,,,,,,
1821,J1739-31,sbb+23,277.10525e-3,0,mmr+24,*,0,*
1822,B1736-31,cl86,0.52944098843,15,hlk+04,1.85836E-14,15,hlk+04
1823,J1739-3159,mhl+02,0.87756123714,15,mhl+02,1.97E-16,15,mhl+02
1824,J1739-3951,lfl+06,0.341772476799,10,lfl+06,2.0E-17,5,lfl+06
1825,J1740+1000,mca00,0.1540957973985,5,saa+23,2.1330698E-14,10,saa+23
,,,,,,,,
1826,B1737+13,mlt+78,0.803050264794,4,hlk+04,1.451320E-15,12,hlk+04
1827,J1740+27,scb+19,1.0582,0,dmo+24,*,0,*
1828,J1740-2540,hfs+04,1.69265634040,9,hfs+04,1.851E-15,12,hfs+04
1829,B1737-30,cl86,0.60688662425,4,ywml10,4.66124E-13,12,ywml10
1830,J1740-3052,sml+01,0.570313411724,3,msk+12,2.550428E-14,10,msk+12
,,,,,,,,
1831,J1740-3327,hfs+04,0.515000656402,14,hfs+04,3.8978E-15,14,hfs+04
1832,J1740-5340A,dlm+01,0.003650328897200,10,dpm+01,1.68E-19,7,dpm+01
1833,J1740-5340B,zrb+22,0.00578696848909,11,zrb+22,-6.0E-21,34,zrb+22
1834,J1741+1351,jbo+07,0.003747154500259940,8,abb+18,3.021648E-20,15,abb+18
1835,J1741+2758,fcwa95,1.360738,0,dmo+24,1.8410E-15,10,lwf+04
,,,,,,,,
1836,J1741+3855,scb+19,0.82886088996,0,tbc+20,2.06E-16,4,tbc+20
1837,B1738-08,mlt+78,2.043082458401,6,hlk+04,2.27471E-15,5,hlk+04
1838,J1741-2019,ebvb01,3.90450636119,13,ebvb01,1.6260E-14,13,ebvb01
1839,J1741-2054,aaa+09c,0.41370012084,18,rkp+11,1.6983E-14,6,rkp+11
1840,J1741-21,mss+20,2.565,0,mss+20,*,0,*
,,,,,,,,
1841,J1741-2152,msk+24,2.5655523749,6,msk+24,1.28E-15,6,msk+24
1842,J1741-2719,lfl+06,0.346796929142,19,lfl+06,8.1E-17,4,lfl+06
1843,J1741-2733,mhl+02,0.89295866978,6,mhl+02,1.48E-16,8,mhl+02
1844,J1741-2945,mhl+02,0.223557828541,15,mhl+02,6.342E-16,20,mhl+02
1845,J1741-3016,mhl+02,1.89374869377,18,mhl+02,8.99E-15,6,mhl+02
,,,,,,,,
1846,J1741-34,ncb+15,0.875137,2,ncb+15,*,0,*
1847,B1737-39,mlt+78,0.512212355130,6,jbv+19,1.7122E-15,3,jbv+19
1848,J1742+20,ttk+24,0.25260,10,ttk+24,*,0,*
1849,J1742-0203,mss+20,0.1316096794,6,spp+23,1.49E-16,11,spp+23
1850,J1742-3321,nie+20,0.143266,0,nie+20,1.27e-15,0,nie+20
,,,,,,,,
1851,J1742-3957,lfl+06,1.0163491951,4,lfl+06,8.2E-17,29,lfl+06
1852,J1742-4616,ebvb01,0.412401047219,7,ebvb01,3.38E-17,12,ebvb01
1853,J1743+05,dsm+16,1.47363,0,dsm+16,*,0,*
1854,B1740-03,mlt+78,0.44464510677,10,hlk+04,1.5562E-15,8,hlk+04
1855,B1740-13,stwd85,0.405336948592,10,hlk+04,4.7752E-16,9,hlk+04
,,,,,,,,
1856,J1743-2442,hfs+04,1.24250830909,11,hfs+04,4.72E-16,10,hfs+04
1857,B1740-31,jlm+92,2.414652314520,6,lbs+20,1.20781E-13,3,lbs+20
1858,J1743-3153,mhl+02,0.193105399932,7,mhl+02,1.05675E-14,4,mhl+02
1859,J1743-35,ncb+15,0.569980,9,ncb+15,*,0,*
1860,J1743-4212,ebvb01,0.3061669878595,16,ebvb01,7.834E-16,4,ebvb01
,,,,,,,,
1861,J1744-1134,bjb+97,0.004074545941825145,9,abb+23,8.93443E-21,5,abb+23
1862,J1744-1610,ebvb01,1.757205868816,16,ebvb01,2.3767E-15,16,ebvb01
1863,J1744-2335,lml+98,1.68350668862,2,dsb+98,8.327E-16,9,dsb+98
1864,J1744-2946,ldjb24,0.00839219085782,15,ldjb24,*,0,*
1865,J1744-3130,mhl+02,1.06606087128,4,mhl+02,2.1224E-14,12,mhl+02
,,,,,,,,
1866,J1744-3922,fsk+04,0.172444360995,2,fsk+04,1.55E-18,12,fsk+04
1867,J1744-5337,bbb+12,0.3556658488,8,bbb+12,1.90E-16,10,bbb+12
1868,J1744-7619,cpw+18,0.0046875240948954,11,cpw+18,9.679E-21,18,cpw+18
1869,J1745+1017,bgc+13,0.0026521296710897,4,bgc+13,2.729E-21,15,bgc+13
1870,J1745+1252,scb+19,1.05984875840,10,tbc+20,5.63E-16,4,tbc+20
,,,,,,,,
1871,J1745+42,scb+19,0.3051,0,scb+19,*,0,*
1872,J1745-0129,ebvb01,1.045406855598,18,ebvb01,6.31E-16,4,ebvb01
1873,J1745-0952,eb01b,0.0193763034411294,19,jsb+10,9.246E-20,5,jsb+10
1874,J1745-2229,hfs+04,1.160592538166,19,hfs+04,2.857E-15,3,hfs+04
1875,J1745-23,ccb+20,0.00541669986,14,ccb+20,*,0,*
,,,,,,,,
1876,J1745-2758,ncb+15,0.487527998033,3,pbm+19,4.42E-18,5,pbm+19
1877,J1745-2900,mgz+13,3.763733080,17,laks15,1.756E-11,3,laks15
1878,J1745-2910,dcl09,0.982,0,dcl09,*,0,*
1879,J1745-2912,jkl+06,0.1873794,2,jkl+06,*,0,*
1880,B1742-30,kac+73,0.3674337248626,11,psj+19,1.067181E-14,6,psj+19
,,,,,,,,
1881,J1745-3812,bbb+12,0.6983528638,2,bbb+12,2.426E-15,7,bbb+12
1882,J1746+2245,clm+05,3.46503778264,6,clm+05,4.919E-15,7,clm+05
1883,J1746+2540,fcwa95,1.05814817030,10,lwf+04,1.047E-15,2,lwf+04
1884,J1746-2829,wcb+24,1.888928609337,9,wcb+24,1.30E-12,3,wcb+24
1885,J1746-2849,dcl09,1.478480373,2,dcl09,1.27E-14,6,dcl09
,,,,,,,,
1886,J1746-2850,dcl09,1.0771014910,4,dcl09,1.34311E-12,2,dcl09
1887,J1746-2856,jkl+06,0.945224316,3,jkl+06,1.25E-14,3,jkl+06
1888,J1746-3239,pga+12,0.1995413598713,12,pga+12,6.56093E-15,12,pga+12
1889,J1747-1030,bbb+12,1.5787928888,2,bbb+12,4.3E-16,2,bbb+12
1890,J1747-2647,kel+09,0.500254454491,16,kel+09,1.32412E-14,18,kel+09
,,,,,,,,
1891,J1747-2802,mhl+02,2.7800791979,8,mhl+02,2.37E-15,12,mhl+02
1892,J1747-2809,crgl09,0.052152855,2,crgl09,1.5557E-13,3,crgl09
1893,J1747-2958,cmgl02,0.0988139764825,20,gvc+04,6.132329E-14,10,gvc+04
1894,J1747-4036,kcj+12,0.0016456096148060,9,aab+21a,1.3142E-20,9,aab+21a
1895,B1745-12,mlt+78,0.3941333466126,14,hlk+04,1.212692E-15,11,hlk+04
,,,,,,,,
1896,B1745-20A,mlj+89b,0.2886027917197,16,frb+08,3.9933E-16,10,frb+08
1897,J1748-2021B,frb+08,0.016760127219257,5,frb+08,-3.2913E-19,17,frb+08
1898,J1748-2021C,frb+08,0.006226932720487,3,frb+08,-5.983E-20,16,frb+08
1899,J1748-2021D,frb+08,0.013495820403909,3,frb+08,5.8677E-19,17,frb+08
1900,J1748-2021E,frb+08,0.016264003411125,6,frb+08,3.124E-19,4,frb+08
,,,,,,,,
1901,J1748-2021F,frb+08,0.003793629114948,3,frb+08,-1.055E-20,19,frb+08
1902,J1748-2444,lmd+90,0.442838499130,6,hlk+04,1.1131E-16,4,hlk+04
1903,B1744-24A,lmd+90,0.01156314838986,3,lmbm00,-3.40E-20,4,lmbm00
1904,J1748-2446C,lmbm00,0.00843609530440,10,lmbm00,-6.06E-19,4,lmbm00
1905,J1748-2446D,rhs+05,0.00471398,0,rhs+05,*,0,*
,,,,,,,,
1906,J1748-2446E,rhs+05,0.00219780,0,rhs+05,*,0,*
1907,J1748-2446F,rhs+05,0.00554014,0,rhs+05,*,0,*
1908,J1748-2446G,rhs+05,0.02167187,0,rhs+05,*,0,*
1909,J1748-2446H,rhs+05,0.00492589,0,rhs+05,*,0,*
1910,J1748-2446I,rhs+05,0.00957019,0,rhs+05,*,0,*
,,,,,,,,
1911,J1748-2446J,rhs+05,0.08033793,0,rhs+05,*,0,*
1912,J1748-2446K,rhs+05,0.00296965,0,rhs+05,*,0,*
1913,J1748-2446L,rhs+05,0.00224470,0,rhs+05,*,0,*
1914,J1748-2446M,rhs+05,0.00356957,0,rhs+05,*,0,*
1915,J1748-2446N,rhs+05,0.00866690,0,rhs+05,*,0,*
,,,,,,,,
1916,J1748-2446O,rhs+05,0.00167663,0,rhs+05,*,0,*
1917,J1748-2446P,rhs+05,0.00172862,0,rhs+05,*,0,*
1918,J1748-2446Q,rhs+05,0.002812,0,rhs+05,*,0,*
1919,J1748-2446R,rhs+05,0.00502854,0,rhs+05,*,0,*
1920,J1748-2446S,rhs+05,0.00611664,0,rhs+05,*,0,*
,,,,,,,,
1921,J1748-2446T,rhs+05,0.00708491,0,rhs+05,*,0,*
1922,J1748-2446U,rhs+05,0.00328914,0,fre08,*,0,*
1923,J1748-2446V,rhs+05,0.00207251,0,rhs+05,*,0,*
1924,J1748-2446W,rhs+05,0.00420518,0,rhs+05,*,0,*
1925,J1748-2446X,rhs+05,0.00299926,0,fre08,*,0,*
,,,,,,,,
1926,J1748-2446Y,rhs+05,0.00204816,0,rhs+05,*,0,*
1927,J1748-2446Z,fre08,0.00246259,0,fre08,*,0,*
1928,J1748-2446aa,fre08,0.00578804,0,fre08,*,0,*
1929,J1748-2446ab,fre08,0.00511971,0,fre08,*,0,*
1930,J1748-2446ac,fre08,0.00508691,0,fre08,*,0,*
,,,,,,,,
1931,J1748-2446ad,hrs+06,0.00139595482,6,hrs+06,0e-19,6,hrs+06
1932,J1748-2446ae,fre08,0.00365859,0,fre08,*,0,*
1933,J1748-2446af,fre08,0.00330434,0,fre08,*,0,*
1934,J1748-2446ag,fre08,0.00444803,0,fre08,*,0,*
1935,J1748-2446ah,fre08,0.00496515,0,fre08,*,0,*
,,,,,,,,
1936,J1748-2446ai,fre08,0.02122838,0,fre08,*,0,*
1937,J1748-2446aj,crf+18,0.0029589095505841,4,crf+18,1.41232E-19,7,crf+18
1938,J1748-2446ak,crf+18,0.00189010668450548,15,crf+18,8.8494E-20,8,crf+18
1939,J1748-2446al,crf+18,0.00595,0,crf+18,*,0,*
1940,J1748-2446am,ar18,0.0029338198772443,18,ar18,-1.3680E-19,4,ar18
,,,,,,,,
1941,J1748-2446an,rgf+21,0.0048023377671501,5,rgf+21,1.5574E-19,7,rgf+21
1942,J1748-2446ao,prf+24,0.00227437877392998,16,prf+24,8.69791E-20,11,prf+24
1943,J1748-2446ap,prf+24,0.0037446929385990,5,prf+24,3.070005E-19,13,prf+24
1944,J1748-2446aq,prf+24,0.0125219426642785,11,prf+24,-7.16206E-19,15,prf+24
1945,J1748-2446ar,prf+24,0.001952810750898,4,prf+24,-2.647E-19,8,prf+24
,,,,,,,,
1946,J1748-2446as,prf+24,0.00232645508301378,5,prf+24,2.559829E-19,6,prf+24
1947,J1748-2446at,prf+24,0.00218818530683240,5,prf+24,-5.89967E-20,4,prf+24
1948,J1748-2446au,prf+24,0.0045482151529225,3,prf+24,-1.06797E-19,3,prf+24
1949,J1748-2446av,prf+24,0.00184944866479314,7,prf+24,-4.25047E-20,3,prf+24
1950,J1748-2446aw,prf+24,0.0130490776461167,4,prf+24,1.306465E-17,4,prf+24
,,,,,,,,
1951,J1748-2446ax,prf+24,0.00194349837998406,8,prf+24,-9.54952E-21,8,prf+24
1952,J1748-2815,nie+20,0.100200,0,nie+20,3.53e-15,0,nie+20
1953,J1748-30,ncb+15,0.3827347,6,ncb+15,*,0,*
1954,J1748-3009,kek+13,0.009683961337179,4,pbm+19,-3.5795E-20,19,pbm+19
1955,J1749+16,dsm+16,2.31165,0,dsm+16,*,0,*
,,,,,,,,
1956,J1749+5952,scb+19,0.436040950719,2,tbc+20,1.519E-16,4,tbc+20
1957,J1749-2146,ccb+20,2.71455556146,12,ccb+20,7.077E-15,7,ccb+20
1958,J1749-2347,hfs+04,0.87448588170,4,hfs+04,2.4236E-15,10,hfs+04
1959,J1749-2629,mhl+02,1.33538779057,13,mhl+02,1.72E-15,3,mhl+02
1960,B1746-30,jlm+92,0.609873648673,15,hlk+04,7.87067E-15,12,hlk+04
,,,,,,,,
1961,J1749-4931,bbb+12,0.445822307,2,bbb+12,5.9E-16,2,bbb+12
1962,J1749-5417,bsb+19,0.307576751860,6,bsb+19,1.496E-16,7,bsb+19
1963,B1745-56,mlt+78,1.3323097198,7,nmc81,2.12E-15,3,nmc81
1964,J1750+07,dsm+16,1.90881,0,dsm+16,*,0,*
1965,J1750-2043,lfl+06,5.639047079,3,lfl+06,7.9E-15,16,lfl+06
,,,,,,,,
1966,J1750-2438,mhl+02,0.712794036774,10,mhl+02,1.0797E-14,3,mhl+02
1967,J1750-2444,hfs+04,0.89937672140,5,hfs+04,2.64E-16,3,hfs+04
1968,J1750-2536,kek+13,0.034749053,8,kek+13,*,0,*
1969,J1750-28,ncb+15,1.3005131462,7,ncb+15,5.78E-15,19,ncb+15
1970,B1747-31,jlm+92,0.910362984150,5,hlk+04,1.9652E-16,4,hlk+04
,,,,,,,,
1971,J1750-3503,mld+96,0.68401360292,3,dsb+98,3.81E-17,4,dsb+98
1972,J1750-3703A,dpm+01a,0.1116008373133,4,frb+08,5.661E-18,8,frb+08
1973,J1750-3703B,frb+08,0.006074542086503,6,frb+08,1.92E-20,5,frb+08
1974,J1750-3703C,frb+08,0.02656867837497,5,frb+08,-9.96E-19,3,frb+08
1975,J1750-3703D,frb+08,0.005139936774902,4,frb+08,4.928E-19,3,frb+08
,,,,,,,,
1976,J1751-2516,mhl+02,0.39483578357,10,mhl+02,2.645E-15,3,mhl+02
1977,J1751-2737,bdf+17,0.00223,0,bdf+17,*,0,*
1978,J1751-2857,sfl+05,0.0039148732594333,4,abb+23,1.12248E-20,13,abb+23
1979,J1751-3323,kbm+03,0.54822710380,7,ywml10,8.830E-15,7,ywml10
1980,B1747-46,wvl69,0.7423536034383,6,jbv+19,1.29787E-15,6,jbv+19
,,,,,,,,
1981,J1752+2359,fcwa95,0.409051,0,dmo+24,6.427E-16,9,lwf+04
1982,J1752-2410,hfs+04,0.1910366935341,19,hfs+04,6.1771E-16,8,hfs+04
1983,B1749-28,tv68,0.56255763553,3,hlk+04,8.12913E-15,10,hlk+04
1984,J1752-2821,mhl+02,0.64022949952,4,mhl+02,3.468E-15,17,mhl+02
1985,J1753-12,bb10,0.4054540,10,bb10,*,0,*
,,,,,,,,
1986,J1753-1914,lfl+06,0.0629548889725,12,lfl+06,2.02E-18,12,lfl+06
1987,J1753-2240,kkl+09,0.0951378086771,7,kkl+09,9.7E-19,12,kkl+09
1988,B1750-24,cl86,0.52833640936,3,hlk+04,1.411502E-14,17,hlk+04
1989,J1753-28,ccb+20,0.08585861,2,ccb+20,*,0,*
1990,J1753-2819,mic13,0.018623631832618,4,pbm+19,-4.936E-20,14,pbm+19
,,,,,,,,
1991,J1753-38,bb10,0.666804,0,kjv+10,*,0,*
1992,J1754+0032,mbc+19,0.00441080,0,mbc+19,*,0,*
1993,J1754+48,ttk+24,0.652,2,ttk+24,*,0,*
1994,B1753+52,dtws85,2.39139679486,3,hlk+04,1.5641E-15,3,hlk+04
1995,J1754-2422,kjv+10,2.0902480768,4,bbb+12,8.3E-16,2,bbb+12
,,,,,,,,
1996,J1754-3014,mll+06,1.3204904144,3,jcs+17,4.428E-15,19,jcs+17
1997,J1754-3443,hfs+04,0.361690595821,10,hfs+04,5.712E-16,7,hfs+04
1998,J1754-3510,lfl+06,0.392703893399,3,lfl+06,7.816E-16,5,lfl+06
1999,J1755-0903,bbb+12,0.190709642575,4,bbb+12,7.809E-16,3,bbb+12
2000,J1755-1650,lfl+06,0.73374443871,3,lfl+06,6.86E-16,3,lfl+06
,,,,,,,,
2001,J1755-2025,kel+09,0.322231178915,5,kel+09,4.4217E-15,6,kel+09
2002,J1755-2521,mhl+02,1.1759678772,5,mhl+02,9.0193E-14,17,mhl+02
2003,J1755-25211,hfs+04,1.00451255339,7,hfs+04,3.12081E-14,13,hfs+04
2004,J1755-2534,hfs+04,0.233540625445,9,hfs+04,1.12061E-14,9,hfs+04
2005,J1755-2550,ncb+15,0.3151960620987,16,nkt+18,2.4337E-15,14,nkt+18
,,,,,,,,
2006,J1755-26,ncb+15,0.43087215605,14,ncb+15,1.228E-14,5,ncb+15
2007,J1755-2725,mhl+02,0.26195467832,5,mhl+02,1.4E-17,9,mhl+02
2008,J1755-33,kek+13,0.959466,4,kek+13,*,0,*
2009,J1755-3716,nbb+14,0.01278606928999,10,nbb+14,3.1E-20,4,nbb+14
2010,J1756+1822,naf03,0.74400093976,7,bfrs18,5.131E-16,17,bfrs18
,,,,,,,,
2011,J1756-2225,hfs+04,0.40498030096,9,hfs+04,5.2691E-14,5,hfs+04
2012,J1756-2251,fsk+04,0.0284615890259983,5,fsk+14,1.017502E-18,3,fsk+14
2013,B1753-24,cl86,0.6704799625529,14,hlk+04,2.84741E-16,9,hlk+04
2014,J1756-25,ncb+15,0.855986,2,ncb+15,*,0,*
2015,J1756-2619,kel+09,0.72451374873,11,kel+09,1.238E-15,6,kel+09
,,,,,,,,
2016,J1757-1500,bbb+12,0.179354019096,13,bsb+19,1.5039E-15,4,bsb+19
2017,J1757-16,fau04,0.4512730,10,fau04,*,0,*
2018,J1757-1854,cck+18,0.0214972320711768,4,cbc+23,2.627329E-18,8,cbc+23
2019,J1757-2223,mhl+02,0.1853101015788,11,mhl+02,7.820E-16,3,mhl+02
2020,B1754-24,kom74,0.23410579125,5,ymw+17,1.30048E-14,17,ymw+17
,,,,,,,,
2021,J1757-2745,ncb+15,0.017687215045108,3,pbm+19,-1.305E-20,16,pbm+19
2022,J1757-5322,eb01,0.008869961227277,4,eb01b,2.63E-20,4,eb01b
2023,J1757-6032,cbb+23,0.002913,0,cbb+23,*,0,*
2024,J1758+3030,cnst96,0.947256,0,dmo+24,7.20E-16,10,snt97
2025,J1758-1931,hfs+04,0.69255157815,7,hfs+04,1.692E-14,3,hfs+04
,,,,,,,,
2026,J1758-2206,mhl+02,0.430278250497,15,mhl+02,9.56E-16,4,mhl+02
2027,J1758-2540,mhl+02,2.1072633712,4,mhl+02,1.55E-15,14,mhl+02
2028,J1758-2630,mhl+02,1.20289346322,18,mhl+02,5.17E-15,8,mhl+02
2029,J1758-2846,lfl+06,0.76670638621,3,lfl+06,9.4E-17,18,lfl+06
2030,J1759+5036,amm+21,0.17601634721733,8,amm+21,2.43E-19,3,amm+21
,,,,,,,,
2031,J1759-1029,bbb+12,2.5122628118,5,bbb+12,1.574E-14,2,bbb+12
2032,J1759-1736,lfl+06,0.79845156695,8,lfl+06,2.55E-16,20,lfl+06
2033,J1759-1903,hfs+04,0.73150547250,17,hfs+04,3.07E-15,7,hfs+04
2034,J1759-1940,mhl+02,0.254720352269,7,mhl+02,9.34E-17,20,mhl+02
2035,J1759-1956,mhl+02,2.8433888097,3,mhl+02,1.857E-14,5,mhl+02
,,,,,,,,
2036,B1756-22,mlt+78,0.460981536134,5,lbs+20,1.085356E-14,15,lbs+20
2037,J1759-2302,mhl+02,0.81071772906,12,mhl+02,1.0744E-14,12,mhl+02
2038,J1759-2307,mhl+02,0.55888867754,3,mhl+02,3.762E-15,3,mhl+02
2039,J1759-24,ncb+15,1.457739,11,ncb+15,*,0,*
2040,J1759-2549,mhl+02,0.95654854873,11,mhl+02,9.9592E-14,13,mhl+02
,,,,,,,,
2041,J1759-2922,lml+98,0.574400267809,3,hlk+04,4.62847E-15,3,hlk+04
2042,J1759-3107,hfs+04,1.078954946883,4,lbs+20,3.77340E-15,11,lbs+20
2043,J1759-5505,sfj+20,0.37339212565,20,sfj+20,4.393E-16,20,sfj+20
2044,J1800+5034,slr+14,0.578375101145,11,lsk+18,1.17E-16,7,lsk+18
2045,J1800-0125,crh+06a,0.78318548958,3,crh+06a,1.1537E-14,5,crh+06a
,,,,,,,,
2046,J1800-2114,hfs+04,1.7992724922,7,hfs+04,5.5E-16,26,hfs+04
2047,B1757-23,moh83,1.03082,2,moh83,*,0,*
2048,B1758-03,stwd85,0.92149286624,4,lbs+20,3.30557E-15,9,lbs+20
2049,J1801-0857A,lrfs11,0.00717561460624,16,pmq+21,-5.1038E-19,5,pmq+21
2050,J1801-0857B,lrfs11,0.02896158842782,9,pqm+21,2.204E-18,6,pqm+21
,,,,,,,,
2051,J1801-0857C,lrfs11,0.0037386996643,5,pmq+21,-6.392E-20,13,pmq+21
2052,J1801-0857D,lrfs11,0.00422653200317,15,pmq+21,7.7E-21,4,pmq+21
2053,J1801-0857E,pmq+21,0.007601670492227,5,pmq+21,-1.0367E-18,12,pmq+21
2054,J1801-0857F,pmq+21,0.024891985032542,13,pmq+21,-2.672E-18,5,pmq+21
2055,J1801-0857G,pmq+21,0.05159136661,3,pmq+21,8.0E-20,54,pmq+21
,,,,,,,,
2056,J1801-0857H,pqm+21,0.005642723448168,7,pqm+21,3.85E-19,3,pqm+21
2057,J1801-0857I,pqm+21,0.00325,0,pqm+21,*,0,*
2058,J1801-1417,fsk+04,0.00362509671716749,14,abb+23,5.3040E-21,10,abb+23
2059,J1801-1855,mhl+02,2.5504982104,10,mhl+02,1.8E-16,22,mhl+02
2060,J1801-1909,mhl+02,1.10872484960,5,mhl+02,7.03E-16,9,mhl+02
,,,,,,,,
2061,J1801-2115,hfs+04,0.4381131572,4,hfs+04,1.6E-17,6,hfs+04
2062,J1801-2154,hfs+04,0.375301756356,16,psj+19,1.6018E-14,3,psj+19
2063,B1758-23,mdt85,0.4158270895435,18,ywml10,1.1293023E-13,11,ywml10
2064,B1757-24,mdt85,0.124924206569,8,hlk+04,1.279057E-13,5,hlk+04
2065,B1758-29,jlm+92,1.0819104982770,12,lbs+20,3.29230E-15,4,lbs+20
,,,,,,,,
2066,J1801-3210,kjv+10,0.0074535843734649,6,pbm+19,7.2E-23,12,pbm+19
2067,J1801-3458,lfl+06,1.3856036231,3,lfl+06,4.0E-16,4,lfl+06
2068,J1802+0128,ebvb01,0.554261603931,10,ebvb01,2.109E-15,3,ebvb01
2069,J1802+03,dsm+13,0.6643,0,dsm+13,*,0,*
2070,J1802-0523,bbb+12,1.68057296916,9,bsb+19,2.649E-15,3,bsb+19
,,,,,,,,
2071,J1802-1745,mhl+02,0.51467137652,3,mhl+02,5.64E-16,11,mhl+02
2072,J1802-2124,fsk+04,0.0126475935865227,4,fsk+10,7.256E-20,3,fsk+10
2073,J1802-2426,mhl+02,0.56900709018,3,mhl+02,8.564E-15,7,mhl+02
2074,J1802-3346,kjv+10,2.461051995,3,bbb+12,1.32E-15,9,bbb+12
2075,J1803+1358,aab+22,0.00152,0,aab+22,*,0,*
,,,,,,,,
2076,J1803+47,ttk+24,0.3469,10,ttk+24,*,0,*
2077,J1803-1616,hfs+04,0.536595822673,18,hfs+04,1.7714E-15,12,hfs+04
