# filename mjd_start mjd_end
FRB20201124A_2_tracking-M01_0014.fits 59347.21849545658666666666 59347.21879371820444444444
FRB20201124A_2_tracking-M01_0015.fits 59347.21879371820444444444 59347.21909197982222222222
FRB20201124A_2_tracking-M01_0016.fits 59347.21909197982222222222 59347.21939024144000000000
FRB20201124A_2_tracking-M01_0017.fits 59347.21939024144000000000 59347.21968850305777777777
FRB20201124A_2_tracking-M01_0018.fits 59347.21968850305777777777 59347.21998676467555555555
FRB20201124A_2_tracking-M01_0019.fits 59347.21998676467555555555 59347.22028502629333333333
FRB20201124A_2_tracking-M01_0020.fits 59347.22028502629333333333 59347.22058328791111111111
FRB20201124A_2_tracking-M01_0021.fits 59347.22058328791111111111 59347.22088154952888888888
FRB20201124A_2_tracking-M01_0022.fits 59347.22088154952888888888 59347.22117981114666666666
FRB20201124A_2_tracking-M01_0023.fits 59347.22117981114666666666 59347.22147807276444444444
FRB20201124A_2_tracking-M01_0024.fits 59347.22147807276444444444 59347.22177633438222222222
FRB20201124A_2_tracking-M01_0025.fits 59347.22177633438222222222 59347.22207459600000000000
FRB20201124A_2_tracking-M01_0026.fits 59347.22207459600000000000 59347.22237285761777777777
FRB20201124A_2_tracking-M01_0027.fits 59347.22237285761777777777 59347.22267111923555555555
FRB20201124A_2_tracking-M01_0028.fits 59347.22267111923555555555 59347.22296938085333333333
FRB20201124A_2_tracking-M01_0029.fits 59347.22296938085333333333 59347.22326764247111111111
FRB20201124A_2_tracking-M01_0030.fits 59347.22326764247111111111 59347.22356590408888888888
FRB20201124A_2_tracking-M01_0031.fits 59347.22356590408888888888 59347.22386416570666666666
FRB20201124A_2_tracking-M01_0032.fits 59347.22386416570666666666 59347.22416242732444444444
FRB20201124A_2_tracking-M01_0033.fits 59347.22416242732444444444 59347.22446068894222222222
FRB20201124A_2_tracking-M01_0034.fits 59347.22446068894222222222 59347.22475895056000000000
FRB20201124A_2_tracking-M01_0035.fits 59347.22475895056000000000 59347.22505721217777777777
FRB20201124A_2_tracking-M01_0036.fits 59347.22505721217777777777 59347.22535547379555555555
FRB20201124A_2_tracking-M01_0037.fits 59347.22535547379555555555 59347.22565373541333333333
FRB20201124A_2_tracking-M01_0038.fits 59347.22565373541333333333 59347.22595199703111111111
FRB20201124A_2_tracking-M01_0039.fits 59347.22595199703111111111 59347.22625025864888888888
FRB20201124A_2_tracking-M01_0040.fits 59347.22625025864888888888 59347.22654852026666666666
FRB20201124A_2_tracking-M01_0041.fits 59347.22654852026666666666 59347.22684678188444444444
FRB20201124A_2_tracking-M01_0042.fits 59347.22684678188444444444 59347.22714504350222222222
FRB20201124A_2_tracking-M01_0043.fits 59347.22714504350222222222 59347.22744330512000000000
FRB20201124A_2_tracking-M01_0044.fits 59347.22744330512000000000 59347.22774156673777777777
FRB20201124A_2_tracking-M01_0045.fits 59347.22774156673777777777 59347.22803982835555555555
FRB20201124A_2_tracking-M01_0046.fits 59347.22803982835555555555 59347.22833808997333333333
FRB20201124A_2_tracking-M01_0047.fits 59347.22833808997333333333 59347.22863635159111111111
FRB20201124A_2_tracking-M01_0048.fits 59347.22863635159111111111 59347.22893461320888888888
FRB20201124A_2_tracking-M01_0049.fits 59347.22893461320888888888 59347.22923287482666666666
FRB20201124A_2_tracking-M01_0050.fits 59347.22923287482666666666 59347.22953113644444444444
FRB20201124A_2_tracking-M01_0051.fits 59347.22953113644444444444 59347.22982939806222222222
FRB20201124A_2_tracking-M01_0052.fits 59347.22982939806222222222 59347.23012765968000000000
FRB20201124A_2_tracking-M01_0053.fits 59347.23012765968000000000 59347.23042592129777777777
FRB20201124A_2_tracking-M01_0054.fits 59347.23042592129777777777 59347.23072418291555555555
FRB20201124A_2_tracking-M01_0055.fits 59347.23072418291555555555 59347.23102244453333333333
FRB20201124A_2_tracking-M01_0056.fits 59347.23102244453333333333 59347.23132070615111111111
FRB20201124A_2_tracking-M01_0057.fits 59347.23132070615111111111 59347.23161896776888888888
FRB20201124A_2_tracking-M01_0058.fits 59347.23161896776888888888 59347.23191722938666666666
FRB20201124A_2_tracking-M01_0059.fits 59347.23191722938666666666 59347.23221549100444444444
FRB20201124A_2_tracking-M01_0060.fits 59347.23221549100444444444 59347.23251375262222222222
FRB20201124A_2_tracking-M01_0061.fits 59347.23251375262222222222 59347.23281201424000000000
FRB20201124A_2_tracking-M01_0062.fits 59347.23281201424000000000 59347.23311027585777777777
FRB20201124A_2_tracking-M01_0063.fits 59347.23311027585777777777 59347.23340853747555555555
FRB20201124A_2_tracking-M01_0064.fits 59347.23340853747555555555 59347.23370679909333333333
FRB20201124A_2_tracking-M01_0065.fits 59347.23370679909333333333 59347.23400506071111111111
FRB20201124A_2_tracking-M01_0066.fits 59347.23400506071111111111 59347.23430332232888888888
FRB20201124A_2_tracking-M01_0067.fits 59347.23430332232888888888 59347.23460158394666666666
FRB20201124A_2_tracking-M01_0068.fits 59347.23460158394666666666 59347.23489984556444444444
FRB20201124A_2_tracking-M01_0069.fits 59347.23489984556444444444 59347.23519810718222222222
FRB20201124A_2_tracking-M01_0070.fits 59347.23519810718222222222 59347.23546141626666666666
FRB20201124A_3_tracking-M01_0001.fits 59347.24791666666666666666 59347.24821492828444444444
FRB20201124A_3_tracking-M01_0002.fits 59347.24821492828444444444 59347.24851318990222222222
FRB20201124A_3_tracking-M01_0003.fits 59347.24851318990222222222 59347.24881145152000000000
FRB20201124A_3_tracking-M01_0004.fits 59347.24881145152000000000 59347.24910971313777777777
