# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0110.fits 59311.33518781426962962962 59311.33526237967407407407
FRB20201124A_tracking-M01_0111.fits 59311.33526237967407407407 59311.33533694507851851851
FRB20201124A_tracking-M01_0112.fits 59311.33533694507851851851 59311.33541151048296296296
FRB20201124A_tracking-M01_0113.fits 59311.33541151048296296296 59311.33548607588740740740
FRB20201124A_tracking-M01_0114.fits 59311.33548607588740740740 59311.33556064129185185185
FRB20201124A_tracking-M01_0115.fits 59311.33556064129185185185 59311.33563520669629629629
FRB20201124A_tracking-M01_0116.fits 59311.33563520669629629629 59311.33570977210074074074
FRB20201124A_tracking-M01_0117.fits 59311.33570977210074074074 59311.33578433750518518518
FRB20201124A_tracking-M01_0118.fits 59311.33578433750518518518 59311.33585890290962962962
FRB20201124A_tracking-M01_0119.fits 59311.33585890290962962962 59311.33593346831407407407
FRB20201124A_tracking-M01_0120.fits 59311.33593346831407407407 59311.33600803371851851851
FRB20201124A_tracking-M01_0121.fits 59311.33600803371851851851 59311.33608259912296296296
FRB20201124A_tracking-M01_0122.fits 59311.33608259912296296296 59311.33615716452740740740
FRB20201124A_tracking-M01_0123.fits 59311.33615716452740740740 59311.33623172993185185185
FRB20201124A_tracking-M01_0124.fits 59311.33623172993185185185 59311.33630629533629629629
FRB20201124A_tracking-M01_0125.fits 59311.33630629533629629629 59311.33638086074074074074
FRB20201124A_tracking-M01_0126.fits 59311.33638086074074074074 59311.33645542614518518518
FRB20201124A_tracking-M01_0127.fits 59311.33645542614518518518 59311.33652999154962962962
FRB20201124A_tracking-M01_0128.fits 59311.33652999154962962962 59311.33660455695407407407
FRB20201124A_tracking-M01_0129.fits 59311.33660455695407407407 59311.33667912235851851851
FRB20201124A_tracking-M01_0130.fits 59311.33667912235851851851 59311.33675368776296296296
FRB20201124A_tracking-M01_0131.fits 59311.33675368776296296296 59311.33682825316740740740
FRB20201124A_tracking-M01_0132.fits 59311.33682825316740740740 59311.33690281857185185185
FRB20201124A_tracking-M01_0133.fits 59311.33690281857185185185 59311.33697738397629629629
FRB20201124A_tracking-M01_0134.fits 59311.33697738397629629629 59311.33705194938074074074
FRB20201124A_tracking-M01_0135.fits 59311.33705194938074074074 59311.33712651478518518518
FRB20201124A_tracking-M01_0136.fits 59311.33712651478518518518 59311.33720108018962962962
FRB20201124A_tracking-M01_0137.fits 59311.33720108018962962962 59311.33727564559407407407
FRB20201124A_tracking-M01_0138.fits 59311.33727564559407407407 59311.33735021099851851851
FRB20201124A_tracking-M01_0139.fits 59311.33735021099851851851 59311.33742477640296296296
FRB20201124A_tracking-M01_0140.fits 59311.33742477640296296296 59311.33749934180740740740
FRB20201124A_tracking-M01_0141.fits 59311.33749934180740740740 59311.33757390721185185185
FRB20201124A_tracking-M01_0142.fits 59311.33757390721185185185 59311.33764847261629629629
FRB20201124A_tracking-M01_0143.fits 59311.33764847261629629629 59311.33772303802074074074
FRB20201124A_tracking-M01_0144.fits 59311.33772303802074074074 59311.33779760342518518518
FRB20201124A_tracking-M01_0145.fits 59311.33779760342518518518 59311.33787216882962962962
FRB20201124A_tracking-M01_0146.fits 59311.33787216882962962962 59311.33794673423407407407
FRB20201124A_tracking-M01_0147.fits 59311.33794673423407407407 59311.33802129963851851851
FRB20201124A_tracking-M01_0148.fits 59311.33802129963851851851 59311.33809586504296296296
FRB20201124A_tracking-M01_0149.fits 59311.33809586504296296296 59311.33817043044740740740
FRB20201124A_tracking-M01_0150.fits 59311.33817043044740740740 59311.33824499585185185185
FRB20201124A_tracking-M01_0151.fits 59311.33824499585185185185 59311.33831956125629629629
FRB20201124A_tracking-M01_0152.fits 59311.33831956125629629629 59311.33839412666074074074
FRB20201124A_tracking-M01_0153.fits 59311.33839412666074074074 59311.33846869206518518518
FRB20201124A_tracking-M01_0154.fits 59311.33846869206518518518 59311.33854325746962962962
FRB20201124A_tracking-M01_0155.fits 59311.33854325746962962962 59311.33861782287407407407
FRB20201124A_tracking-M01_0156.fits 59311.33861782287407407407 59311.33869238827851851851
FRB20201124A_tracking-M01_0157.fits 59311.33869238827851851851 59311.33876695368296296296
FRB20201124A_tracking-M01_0158.fits 59311.33876695368296296296 59311.33884151908740740740
FRB20201124A_tracking-M01_0159.fits 59311.33884151908740740740 59311.33891608449185185185
FRB20201124A_tracking-M01_0160.fits 59311.33891608449185185185 59311.33899064989629629629
FRB20201124A_tracking-M01_0161.fits 59311.33899064989629629629 59311.33906521530074074074
FRB20201124A_tracking-M01_0162.fits 59311.33906521530074074074 59311.33913978070518518518
FRB20201124A_tracking-M01_0163.fits 59311.33913978070518518518 59311.33921434610962962962
FRB20201124A_tracking-M01_0164.fits 59311.33921434610962962962 59311.33928891151407407407
