BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
40,20210927,59483.86631068800000000000 ,412.18,7.29,103.89,0.41,0.757,0.003,  2.119(20)e+38,  8.476(78)e+37,250,6.75,209.03,0.49,1.411,0.012,  8.671(73)e+37
41,20210927,59483.86634812700000000000 ,412.18,6.89,311.66,0.14,2.147,0.001,  6.010(53)e+38,  2.404(21)e+38,350,4.03,660.19,0.66,2.661,0.022,  2.290(19)e+38
42,20210927,59483.86634901000000000000 ,412.18,3.94,8.63,0.38,0.034,0.002,   9.517(1)e+36,   3.807(1)e+36,100,3.67,23.33,1.14,0.086,0.001,  2.105(22)e+36
43,20210927,59483.86634953800000000000 ,412.18,11.01,153.91,0.14,1.694,0.001,  4.742(39)e+38,  1.897(16)e+38,300,9.72,290.28,0.26,2.821,0.024,  2.081(18)e+38
44,20210927,59483.86703270800000000000 ,412.18,5.18,81.11,0.06,0.42,0.001,  1.176(11)e+38,  4.702(45)e+37,400,4.62,99.88,0.31,0.462,0.004,  4.541(36)e+37
45,20210927,59483.86743587300000000000 ,412.18,4.14,32.59,0.37,0.135,0.002,  3.779(28)e+37,  1.511(11)e+37,400,3.56,36.8,0.64,0.131,0.001,   1.290(9)e+37
46,20210927,59483.86907776900000000000 ,412.18,3.26,57.72,0.09,0.188,0.001,  5.262(56)e+37,  2.105(22)e+37,200,2.87,144.04,0.45,0.413,0.004,  2.033(18)e+37
47,20210927,59483.86952130200000000000 ,412.18,1.27,9.46,0.89,0.012,0.001,   3.359(1)e+36,   1.344(1)e+36,100,2.27,26.86,1.82,0.061,0.001,  1.500(22)e+36
48,20210927,59483.87008404000000000000 ,412.18,6.93,35.5,2.68,0.246,0.019,  6.886(56)e+37,  2.754(22)e+37,450,6.1,38.53,5.54,0.235,0.002,  2.600(20)e+37
49,20210927,59483.87009831700000000000 ,412.18,7.09,207.31,1.91,1.47,0.014,  4.114(34)e+38,  1.646(13)e+38,450,6.4,225.77,2.8,1.445,0.012,  1.599(13)e+38
50,20210927,59483.87091945700000000000 ,412.18,7.81,119.66,0.19,0.934,0.001,  2.614(22)e+38,   1.046(9)e+38,200,7.45,286,0.36,2.129,0.019,   1.047(9)e+38
51,20210927,59483.87094144800000000000 ,412.18,4.15,55.48,0.07,0.23,0.001,  6.438(56)e+37,  2.575(22)e+37,200,4.02,125.82,0.25,0.506,0.005,  2.490(22)e+37
52,20210927,59483.87106770200000000000 ,412.18,3.35,4.48,0.24,0.015,0.001,   4.198(1)e+36,   1.679(1)e+36,50,5.92,27.06,0.57,0.16,0.002,  1.970(22)e+36
53,20210927,59483.87160773200000000000 ,412.18,5.16,6.78,1.32,0.035,0.007,   9.797(1)e+36,   3.919(1)e+36,100,3.97,18.36,2.52,0.073,0.001,  1.791(22)e+36
54,20210927,59483.87178338900000000000 ,412.18,3.17,41.9,1,0.133,0.003,  3.723(28)e+37,  1.489(11)e+37,250,3.06,78.38,2.07,0.24,0.002,  1.472(11)e+37
55,20210927,59483.87178368400000000000 ,412.18,5.18,11.39,0.69,0.059,0.004,   1.651(1)e+37,   6.606(1)e+36,200,4.18,27.69,0.85,0.116,0.001,  5.688(45)e+36
56,20210927,59483.87223682000000000000 ,412.18,5.57,120.14,0.21,0.669,0.001,  1.872(14)e+38,  7.490(56)e+37,350,5.16,180.32,0.52,0.93,0.007,  8.002(63)e+37
57,20210927,59483.87254384900000000000 ,412.18,4.14,11.58,0.28,0.048,0.001,   1.344(1)e+37,   5.374(1)e+36,100,4.64,47.73,0.31,0.221,0.002,  5.441(45)e+36
58,20210927,59483.87293163300000000000 ,412.18,4.13,36.57,0.48,0.151,0.002,  4.226(28)e+37,  1.691(11)e+37,300,3.74,71.89,1.23,0.269,0.002,  1.982(13)e+37
59,20210927,59483.87411142200000000000 ,412.18,4.18,9.8,0.08,0.041,0.001,   1.148(1)e+37,   4.590(1)e+36,150,2.8,26.66,0.27,0.075,0.001,  2.754(34)e+36
60,20210927,59483.87411186800000000000 ,412.18,4.91,21.39,0.29,0.105,0.001,  2.939(28)e+37,  1.176(11)e+37,100,4.17,87.31,0.32,0.364,0.004,  8.957(90)e+36
61,20210927,59483.87434923800000000000 ,412.18,5.42,10.52,1.71,0.057,0.009,   1.595(1)e+37,   6.382(1)e+36,250,4.03,14.93,1.86,0.06,0.001,  3.695(56)e+36
62,20210927,59483.87434972500000000000 ,412.18,3.34,20.06,0.97,0.067,0.003,  1.875(28)e+37, 7.501(112)e+36,250,3.49,37.1,2.4,0.129,0.001,  7.949(56)e+36
63,20210927,59483.87505667500000000000 ,412.18,4.91,64.17,0.35,0.315,0.002,  8.817(56)e+37,  3.527(22)e+37,200,4.54,151.23,2.23,0.686,0.005,  3.372(27)e+37
64,20210927,59483.87505743100000000000 ,412.18,3.66,9.83,0.09,0.036,0.001,   1.008(1)e+37,   4.031(1)e+36,100,4.07,40.94,0.37,0.167,0.002,  4.098(45)e+36
65,20210927,59483.87540271500000000000 ,412.18,3.16,67.82,0.45,0.214,0.001,  5.990(56)e+37,  2.396(22)e+37,200,3.03,153.88,1.05,0.466,0.004,  2.293(18)e+37
66,20210927,59483.87630072500000000000 ,412.18,4.84,71.42,0.04,0.346,0.001,  9.685(84)e+37,  3.874(34)e+37,200,4.3,168.89,0.27,0.726,0.005,  3.569(27)e+37
67,20210927,59483.87630121200000000000 ,412.18,3.75,6.94,0.06,0.026,0.001,   7.278(1)e+36,   2.911(1)e+36,50,5.33,34.7,0.18,0.185,0.002,  2.273(22)e+36
68,20210927,59483.87828294300000000000 ,412.18,23.1,153.41,0.34,3.544,0.008,  9.920(73)e+38,  3.968(29)e+38,450,21.11,170.38,0.62,3.596,0.026,  3.978(29)e+38
69,20210927,59483.87860345500000000000 ,412.18,3.77,282.69,0.09,1.065,0.001,  2.981(22)e+38,   1.192(9)e+38,350,2.42,520.17,0.23,1.258,0.01,   1.083(8)e+38
70,20210927,59483.87867687800000000000 ,412.18,9.11,75.18,0.96,0.685,0.009,  1.917(14)e+38,  7.669(56)e+37,200,8.39,181.13,1.41,1.519,0.012,  7.470(58)e+37
71,20210927,59483.87907409100000000000 ,412.18,7.23,14.39,0.09,0.104,0.001,  2.911(28)e+37,  1.164(11)e+37,150,2.59,48.35,0.47,0.125,0.002,  4.613(56)e+36
72,20210927,59483.87985624100000000000 ,412.18,8.89,212.05,0.29,1.886,0.003,  5.279(36)e+38,  2.112(15)e+38,500,6.56,212.18,0.58,1.393,0.01,  1.712(13)e+38
73,20210927,59483.88022678300000000000 ,412.18,5.47,93.26,0.08,0.51,0.001,  1.428(11)e+38,  5.710(45)e+37,200,4.92,219.97,0.22,1.082,0.008,  5.320(40)e+37
74,20210927,59483.88046682700000000000 ,412.18,6.46,10.38,0.17,0.067,0.001,   1.875(1)e+37,   7.501(1)e+36,200,4.84,26.54,0.84,0.128,0.001,  6.315(45)e+36
75,20210927,59483.88081304500000000000 ,412.18,2.29,8.73,0.08,0.02,0.001,   5.598(1)e+36,   2.239(1)e+36,100,2.61,21.61,0.11,0.056,0.001,  1.388(22)e+36
76,20210927,59483.88111912100000000000 ,412.18,5.97,16.93,0.16,0.101,0.001,  2.827(28)e+37,  1.131(11)e+37,150,4.84,47.96,0.29,0.232,0.002,  8.565(67)e+36
77,20210927,59483.88363244600000000000 ,412.18,8.38,108.88,0.5,0.912,0.004,  2.553(20)e+38,   1.021(8)e+38,250,6.97,256.06,1.21,1.784,0.013,   1.097(8)e+38
78,20210927,59483.88383652100000000000 ,412.18,6.73,176.73,0.08,1.19,0.001,  3.331(22)e+38,   1.332(9)e+38,350,5.23,298.8,0.39,1.564,0.011,   1.346(9)e+38
79,20210927,59483.88484475200000000000 ,412.18,4.92,85.71,0.52,0.422,0.003,   1.181(6)e+38,  4.725(22)e+37,300,4.15,164.33,1.22,0.682,0.004,  5.032(32)e+37
80,20210927,59483.88570770200000000000 ,412.18,5.45,18.34,0.55,0.1,0.003,  2.799(28)e+37,  1.120(11)e+37,100,4.54,72.58,1.33,0.33,0.003,  8.106(67)e+36
81,20210927,59483.88745204900000000000 ,412.18,6.46,57.28,0.05,0.37,0.001,   1.036(6)e+38,  4.142(22)e+37,150,6.02,151.31,0.33,0.911,0.006,  3.359(24)e+37
82,20210927,59483.88766410200000000000 ,412.18,4.22,11.86,1.14,0.05,0.005,   1.400(1)e+37,   5.598(1)e+36,100,5.83,30.29,1.27,0.177,0.002,  4.344(45)e+36
83,20210927,59483.89122635800000000000 ,412.18,2.12,11.8,2.09,0.025,0.004,   6.998(1)e+36,   2.799(1)e+36,100,4.05,25.64,3.76,0.104,0.001,  2.553(22)e+36
84,20210927,59483.89169943700000000000 ,412.18,4.32,9.49,0.92,0.041,0.004,   1.148(1)e+37,   4.590(1)e+36,100,4.82,29.64,1.31,0.143,0.001,  3.516(22)e+36
