BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
266,20210928,59484.84210838900000000000 ,411.51,7.86,411.74,0.9,3.237,0.007,  9.060(98)e+38,  3.624(39)e+38,350,6.51,696.73,0.98,4.534,0.049,  3.902(42)e+38
267,20210928,59484.84232283800000000000 ,411.51,3.83,13.07,0.32,0.05,0.001,  1.400(28)e+37, 5.598(112)e+36,100,3.05,60.7,0.76,0.185,0.003,  4.546(67)e+36
268,20210928,59484.84234215800000000000 ,411.51,2.97,32.28,0.72,0.096,0.002,  2.687(28)e+37,  1.075(11)e+37,200,3.55,73.15,1.08,0.26,0.003,  1.276(13)e+37
269,20210928,59484.84234242200000000000 ,411.51,3.09,12.64,4.1,0.039,0.013,   1.092(1)e+37,   4.366(1)e+36,100,4.9,44.99,4.1,0.22,0.003,  5.419(67)e+36
270,20210928,59484.84235124500000000000 ,411.51,3.16,8.23,0.99,0.026,0.003,   7.278(1)e+36,   2.911(1)e+36,200,3.43,16.46,1.52,0.056,0.001,  2.777(45)e+36
271,20210928,59484.84263218900000000000 ,411.51,3.31,62.46,0.75,0.207,0.002,  5.794(56)e+37,  2.318(22)e+37,300,3,121.92,1.14,0.366,0.004,  2.700(27)e+37
272,20210928,59484.84288601400000000000 ,411.51,11.19,520.14,2.14,5.823,0.024,  1.630(17)e+39,  6.520(69)e+38,300,7.62,1148.55,2.6,8.755,0.092,  6.457(68)e+38
273,20210928,59484.84308739100000000000 ,411.51,4.69,17.89,0.92,0.084,0.004,  2.351(28)e+37, 9.405(112)e+36,300,3.94,26.35,2.35,0.104,0.001,  7.658(67)e+36
274,20210928,59484.84313286300000000000 ,411.51,3.68,14.12,1.57,0.052,0.006,  1.456(28)e+37, 5.822(112)e+36,200,3.68,32.18,3.32,0.118,0.001,  5.822(45)e+36
275,20210928,59484.84313331300000000000 ,411.51,6.12,143.54,0.14,0.878,0.001,  2.458(25)e+38, 9.830(101)e+37,400,5.57,182.62,0.26,1.016,0.011, 9.996(107)e+37
276,20210928,59484.84335605800000000000 ,411.51,3.87,18.86,0.17,0.073,0.001,  2.043(28)e+37, 8.173(112)e+36,150,4.05,49.01,0.27,0.199,0.002,  7.322(67)e+36
277,20210928,59484.84336852900000000000 ,411.51,3.06,8.82,0.17,0.027,0.001,   7.557(1)e+36,   3.023(1)e+36,50,3.23,43.64,0.33,0.141,0.002,  1.735(22)e+36
278,20210928,59484.84371337100000000000 ,411.51,7.03,13.09,0.2,0.092,0.001,  2.575(28)e+37,  1.030(11)e+37,200,5.08,36.39,0.8,0.185,0.002,  9.091(90)e+36
279,20210928,59484.84394148500000000000 ,411.51,10.45,183.79,0.3,1.92,0.003,  5.374(59)e+38,  2.150(24)e+38,450,9.49,202.26,0.35,1.919,0.02,  2.123(22)e+38
280,20210928,59484.84394240900000000000 ,411.51,6.39,57.72,0.2,0.369,0.001,  1.033(11)e+38,  4.131(45)e+37,200,6.22,146.25,0.56,0.91,0.01,  4.474(49)e+37
281,20210928,59484.84412465700000000000 ,411.51,4.23,15.37,0.16,0.065,0.001,  1.819(28)e+37, 7.278(112)e+36,200,4.02,40.14,0.41,0.161,0.002,  7.927(90)e+36
282,20210928,59484.84418734400000000000 ,411.51,5.84,429.31,0.21,2.506,0.001,  7.014(70)e+38,  2.806(28)e+38,400,4.55,685.91,0.38,3.121,0.032,  3.069(32)e+38
283,20210928,59484.84434132600000000000 ,411.51,7.68,172.06,0.18,1.321,0.001,  3.698(39)e+38,  1.479(16)e+38,500,6.98,172.16,0.66,1.202,0.013,  1.478(16)e+38
284,20210928,59484.84441397400000000000 ,411.51,5.94,271.28,6.06,1.611,0.036,  4.509(48)e+38,  1.804(19)e+38,350,5.45,456.5,6.42,2.49,0.026,  2.143(23)e+38
285,20210928,59484.84446910100000000000 ,411.51,6.95,314.34,0.29,2.185,0.002,  6.116(64)e+38,  2.446(26)e+38,400,6.1,413,0.62,2.52,0.026,  2.478(26)e+38
286,20210928,59484.84454569600000000000 ,411.51,2.51,67,0.34,0.168,0.001,  4.702(56)e+37,  1.881(22)e+37,200,2.49,156.28,0.38,0.389,0.005,  1.912(22)e+37
287,20210928,59484.84455753700000000000 ,411.51,11.77,360.73,3.84,4.245,0.045,  1.188(13)e+39,  4.753(50)e+38,500,8.54,360.65,4.95,3.081,0.032,  3.787(39)e+38
288,20210928,59484.84455811500000000000 ,411.51,11.08,10.29,0.12,0.114,0.001,  3.191(28)e+37,  1.276(11)e+37,500,5.34,548.83,0.17,2.929,0.031,  3.601(38)e+38
289,20210928,59484.84456237000000000000 ,411.51,5.32,25.39,0.38,0.135,0.002,  3.779(28)e+37,  1.511(11)e+37,500,4.81,25.19,0.85,0.121,0.001,  1.489(11)e+37
290,20210928,59484.84456288400000000000 ,411.51,4.99,24.24,0.88,0.121,0.004,  3.387(28)e+37,  1.355(11)e+37,200,4.35,57.83,0.88,0.251,0.003,  1.236(13)e+37
291,20210928,59484.84476574200000000000 ,411.51,4.3,10.24,1.3,0.044,0.006,   1.232(1)e+37,   4.926(1)e+36,200,2.34,25.35,2.47,0.059,0.001,  2.911(45)e+36
292,20210928,59484.84502318400000000000 ,411.51,5.4,49.68,1.86,0.268,0.01,  7.501(84)e+37,  3.000(34)e+37,300,5.18,96.2,3.91,0.498,0.005,  3.674(40)e+37
293,20210928,59484.84517582400000000000 ,411.51,7.73,89.05,1.88,0.688,0.015,  1.926(20)e+38,  7.703(78)e+37,200,7.63,253.08,2.26,1.932,0.021, 9.499(103)e+37
294,20210928,59484.84517611500000000000 ,411.51,14.98,649.63,1.41,9.734,0.021,  2.724(29)e+39,  1.090(11)e+39,400,16.03,776,2.59,12.437,0.13,  1.223(13)e+39
295,20210928,59484.84553860500000000000 ,411.51,4.01,43.69,1.81,0.175,0.007,  4.898(56)e+37,  1.959(22)e+37,200,3.86,109.78,1.81,0.424,0.005,  2.082(22)e+37
296,20210928,59484.84562720300000000000 ,411.51,4.72,124.88,2.4,0.59,0.011,  1.651(20)e+38,  6.606(78)e+37,300,2.98,319.29,2.62,0.951,0.01,  7.017(74)e+37
297,20210928,59484.84612170100000000000 ,411.51,6.99,301.62,1.99,2.108,0.014,  5.900(62)e+38,  2.360(25)e+38,400,6.3,400.28,4.46,2.523,0.026,  2.481(26)e+38
298,20210928,59484.84633382900000000000 ,411.51,6.4,26.56,0.34,0.17,0.002,  4.758(56)e+37,  1.903(22)e+37,100,7.05,123.64,0.95,0.872,0.011,  2.143(27)e+37
299,20210928,59484.84653682000000000000 ,411.51,2.95,24.76,7.66,0.073,0.023,  2.043(28)e+37, 8.173(112)e+36,200,2.67,61.15,8.13,0.163,0.002,  8.016(90)e+36
300,20210928,59484.84701673700000000000 ,411.51,5.81,168.46,0.08,0.979,0.001,  2.740(28)e+38,  1.096(11)e+38,400,5.34,215.34,0.61,1.149,0.012,  1.130(12)e+38
301,20210928,59484.84716411800000000000 ,411.51,5.85,69.52,0.21,0.407,0.001,  1.139(11)e+38,  4.557(45)e+37,400,3.02,140.77,1.15,0.425,0.004,  4.183(40)e+37
302,20210928,59484.84735296100000000000 ,411.51,5.28,64.15,0.38,0.339,0.002,  9.489(84)e+37,  3.796(34)e+37,200,4.89,162.06,1.23,0.792,0.008,  3.896(40)e+37
303,20210928,59484.84796599400000000000 ,411.51,4.48,17.41,0.46,0.078,0.002,   2.183(1)e+37,   8.733(1)e+36,300,4.3,29.86,0.78,0.128,0.002, 9.472(134)e+36
304,20210928,59484.84801600300000000000 ,411.51,6.19,74.76,1.4,0.463,0.009,  1.296(11)e+38,  5.184(45)e+37,350,4.84,112.69,1.4,0.546,0.005,  4.697(43)e+37
305,20210928,59484.84801756800000000000 ,411.51,8.78,72.18,0.34,0.634,0.003,  1.774(17)e+38,  7.098(67)e+37,450,7.76,79.61,0.54,0.618,0.006,  6.832(71)e+37
306,20210928,59484.84806362500000000000 ,411.51,6.74,28.77,0.81,0.194,0.005,  5.430(56)e+37,  2.172(22)e+37,200,6.09,73.01,1.65,0.444,0.005,  2.185(22)e+37
307,20210928,59484.84824245700000000000 ,411.51,5.13,545.29,0.12,2.796,0.001,  7.826(78)e+38,  3.130(31)e+38,500,4.73,545.32,0.3,2.58,0.026,  3.171(32)e+38
308,20210928,59484.84824335800000000000 ,411.51,10.98,218.54,2.12,2.4,0.023,  6.718(70)e+38,  2.687(28)e+38,300,9.92,369.49,2.73,3.665,0.037,  2.703(28)e+38
309,20210928,59484.84873212000000000000 ,411.51,3.57,13.44,0.49,0.048,0.002,   1.344(1)e+37,   5.374(1)e+36,250,3.3,29.25,0.98,0.097,0.001,  5.934(56)e+36
310,20210928,59484.84907677000000000000 ,411.51,7.28,14.97,0.57,0.109,0.004,  3.051(28)e+37,  1.220(11)e+37,100,6.03,79.4,0.83,0.479,0.005,  1.178(13)e+37
311,20210928,59484.84956678900000000000 ,411.51,3.71,27.5,0.37,0.102,0.001,  2.855(28)e+37,  1.142(11)e+37,200,3.54,67.08,0.77,0.238,0.003,  1.169(13)e+37
312,20210928,59484.84957421300000000000 ,411.51,2.71,481.58,0.34,1.305,0.001,  3.653(36)e+38,  1.461(15)e+38,450,2.43,509.11,0.87,1.238,0.012,  1.369(13)e+38
313,20210928,59484.84960114700000000000 ,411.51,4.18,44.97,0.1,0.188,0.001,  5.262(56)e+37,  2.105(22)e+37,200,3.91,109.01,0.45,0.426,0.005,  2.096(22)e+37
314,20210928,59484.84962463900000000000 ,411.51,7.02,295.4,0.12,2.074,0.001,  5.805(59)e+38,  2.322(24)e+38,500,5.6,295.35,0.28,1.653,0.016,  2.032(20)e+38
315,20210928,59484.84969323200000000000 ,411.51,3.07,340.16,0.74,1.044,0.002,  2.922(28)e+38,  1.169(11)e+38,300,2.77,659.56,1.75,1.826,0.018,  1.347(13)e+38
316,20210928,59484.85013149700000000000 ,411.51,2.88,570.24,2.21,1.642,0.006,  4.596(45)e+38,  1.838(18)e+38,250,2.62,1388.76,5.34,3.643,0.036,  2.239(22)e+38
317,20210928,59484.85043347900000000000 ,411.51,6.34,54.12,0.1,0.343,0.001,  9.601(84)e+37,  3.840(34)e+37,300,5.46,123.83,0.23,0.677,0.006,  4.991(47)e+37
318,20210928,59484.85043379700000000000 ,411.51,5.04,19.43,0.75,0.098,0.004,  2.743(28)e+37,  1.097(11)e+37,250,5.6,46,1.64,0.258,0.003,  1.584(17)e+37
319,20210928,59484.85043422100000000000 ,411.51,16.21,97.26,0.71,1.577,0.012,  4.414(45)e+38,  1.766(18)e+38,300,15.06,231.56,1.55,3.488,0.035,  2.573(26)e+38
320,20210928,59484.85060707200000000000 ,411.51,3.04,404.14,0.59,1.229,0.002,  3.440(34)e+38,  1.376(13)e+38,400,2.71,487.5,0.63,1.319,0.013,  1.297(13)e+38
321,20210928,59484.85065789500000000000 ,411.51,13.19,37.08,0.22,0.489,0.003,  1.369(14)e+38,  5.475(56)e+37,300,12.35,69.29,0.54,0.856,0.009,  6.310(63)e+37
322,20210928,59484.85065835000000000000 ,411.51,4.14,11.6,0.34,0.048,0.001,   1.344(1)e+37,   5.374(1)e+36,100,6.89,45.47,1.05,0.313,0.004,  7.703(90)e+36
323,20210928,59484.85083792800000000000 ,411.51,10.11,120.62,0.37,1.219,0.004,  3.412(34)e+38,  1.365(13)e+38,500,9.26,120.65,0.89,1.118,0.011,  1.374(13)e+38
324,20210928,59484.85129670700000000000 ,411.51,7.2,249.16,3.06,1.794,0.022,  5.021(50)e+38,  2.009(20)e+38,250,6.58,587.75,4.99,3.87,0.038,  2.379(24)e+38
325,20210928,59484.85152943200000000000 ,411.51,3.17,9.47,0.16,0.03,0.001,   8.397(1)e+36,   3.359(1)e+36,100,3.21,24.37,0.39,0.078,0.001,  1.926(22)e+36
326,20210928,59484.85197147300000000000 ,411.51,5.62,174.13,2.18,0.979,0.012,  2.740(28)e+38,  1.096(11)e+38,300,5.13,331.61,2.4,1.7,0.016,  1.254(12)e+38
327,20210928,59484.85213451000000000000 ,411.51,2,5,0.07,0.01,0.001,   2.799(1)e+36,   1.120(1)e+36,50,2.87,77.33,0.4,0.222,0.003,  2.732(34)e+36
328,20210928,59484.85234188000000000000 ,411.51,6.08,53.46,0.08,0.325,0.001,  9.097(84)e+37,  3.639(34)e+37,200,5.62,134.66,0.46,0.757,0.007,  3.722(36)e+37
329,20210928,59484.85253281900000000000 ,411.51,9.86,290.45,0.16,2.865,0.002,  8.019(76)e+38,  3.208(30)e+38,400,7.41,458.15,0.4,3.397,0.033,  3.340(32)e+38
330,20210928,59484.85253355200000000000 ,411.51,5.17,111.56,1.38,0.577,0.007,  1.615(17)e+38,  6.460(67)e+37,200,4.56,305.76,2.62,1.395,0.014,  6.861(67)e+37
331,20210928,59484.85266816700000000000 ,411.51,4.41,7.71,1.38,0.034,0.006,   9.517(1)e+36,   3.807(1)e+36,50,5.48,41.52,3.04,0.228,0.003,  2.799(34)e+36
332,20210928,59484.85300116800000000000 ,411.51,11.7,157.49,0.44,1.843,0.005,  5.159(50)e+38,  2.063(20)e+38,450,10.64,173.91,1.03,1.85,0.018,  2.046(20)e+38
333,20210928,59484.85309244300000000000 ,411.51,3.54,18.36,0.12,0.065,0.001,  1.819(28)e+37, 7.278(112)e+36,150,3.24,62.68,0.49,0.203,0.002,  7.490(67)e+36
334,20210928,59484.85310605700000000000 ,411.51,7.89,398.52,0.1,3.144,0.001,  8.800(84)e+38,  3.520(34)e+38,500,7.41,398.66,0.2,2.955,0.028,  3.632(35)e+38
335,20210928,59484.85468726200000000000 ,411.51,9.47,480.26,3.41,4.547,0.032,  1.273(12)e+39,  5.091(48)e+38,350,7.53,720.57,3.41,5.427,0.051,  4.670(44)e+38
336,20210928,59484.85469627800000000000 ,411.51,4.62,17.73,0.65,0.082,0.003,  2.295(28)e+37, 9.181(112)e+36,200,5.28,34.83,0.88,0.184,0.002,  9.046(90)e+36
337,20210928,59484.85471365300000000000 ,411.51,4.22,8.76,0.41,0.037,0.002,   1.036(1)e+37,   4.142(1)e+36,100,3.71,36.57,1.13,0.136,0.002,  3.336(45)e+36
338,20210928,59484.85513099700000000000 ,411.51,6.28,19.43,0.49,0.122,0.003,  3.415(28)e+37,  1.366(11)e+37,400,6.03,24.46,0.71,0.148,0.002,  1.451(18)e+37
339,20210928,59484.85517037700000000000 ,411.51,7.13,210.35,0.79,1.5,0.006,  4.198(39)e+38,  1.679(16)e+38,350,6.41,344.22,1.22,2.207,0.021,  1.899(18)e+38
340,20210929,59485.78408872600000000000 ,412.55,4.14,12.79,0.13,0.053,0.001,  1.483(28)e+37, 5.934(112)e+36,200,4.54,28.69,0.35,0.13,0.002,  6.404(90)e+36
341,20210929,59485.78430214500000000000 ,412.55,5.67,57.7,0.14,0.327,0.001, 9.153(140)e+37,  3.661(56)e+37,400,5.06,76.33,0.27,0.386,0.006,  3.798(63)e+37
342,20210929,59485.78430273200000000000 ,412.55,8.18,27.88,0.21,0.228,0.002, 6.382(112)e+37,  2.553(45)e+37,150,7.75,77.32,0.56,0.599,0.01,  2.210(37)e+37
343,20210929,59485.78430335600000000000 ,412.55,15.91,94.41,1.2,1.502,0.019,  4.204(67)e+38,  1.682(27)e+38,300,12.85,205.93,3.09,2.645,0.039,  1.951(29)e+38
344,20210929,59485.78439042500000000000 ,412.55,3.21,25.83,0.23,0.083,0.001,  2.323(28)e+37, 9.293(112)e+36,350,2.81,39.27,0.28,0.11,0.002, 9.483(157)e+36
345,20210929,59485.78443843400000000000 ,412.55,3.69,18.95,0.46,0.07,0.002,  1.959(28)e+37, 7.837(112)e+36,200,2.98,40.01,1.08,0.119,0.002,  5.867(90)e+36
346,20210929,59485.78443870700000000000 ,412.55,11.64,167.25,1.34,1.947,0.016,  5.450(90)e+38,  2.180(36)e+38,350,7.71,316.59,3.59,2.442,0.039,  2.102(33)e+38
347,20210929,59485.78443931700000000000 ,412.55,3.46,33.22,0.24,0.115,0.001,  3.219(56)e+37,  1.288(22)e+37,250,3.39,75.31,1.18,0.255,0.004,  1.567(22)e+37
348,20210929,59485.78445184500000000000 ,412.55,6.01,40.95,1.01,0.246,0.006, 6.886(112)e+37,  2.754(45)e+37,150,6.26,107.32,2.6,0.672,0.011,  2.479(40)e+37
349,20210929,59485.78453576200000000000 ,412.55,2.52,60.25,0.96,0.152,0.002,  4.254(56)e+37,  1.702(22)e+37,350,2.35,86.99,2,0.204,0.003,  1.756(24)e+37
350,20210929,59485.78455551800000000000 ,412.55,4.04,22.53,1.4,0.091,0.006,  2.547(28)e+37,  1.019(11)e+37,300,3.62,29.47,3.88,0.107,0.002, 7.860(134)e+36
351,20210929,59485.78476655900000000000 ,412.55,9.31,163.98,0.13,1.526,0.001,  4.271(67)e+38,  1.708(27)e+38,450,6.15,240.82,0.21,1.482,0.023,  1.639(26)e+38
352,20210929,59485.78498133400000000000 ,412.55,1.13,15.88,1.05,0.018,0.001,   5.038(1)e+36,   2.015(1)e+36,150,2.11,27.69,1.25,0.058,0.001,  2.150(34)e+36
353,20210929,59485.78508187200000000000 ,412.55,9.7,63.42,0.57,0.615,0.005,  1.721(28)e+38, 6.886(112)e+37,200,9.12,154.51,0.61,1.409,0.022, 6.928(107)e+37
354,20210929,59485.78514976800000000000 ,412.55,3.51,90.6,2.52,0.318,0.009, 8.901(140)e+37,  3.560(56)e+37,400,3.28,110.02,4.66,0.361,0.005,  3.547(54)e+37
355,20210929,59485.78515533000000000000 ,412.55,2.89,913.29,1.55,2.639,0.004, 7.387(118)e+38,  2.955(47)e+38,500,2.62,913.06,2.05,2.395,0.038,  2.944(47)e+38
356,20210929,59485.78515684500000000000 ,412.55,7.7,357.69,1.65,2.754,0.013, 7.708(123)e+38,  3.083(49)e+38,500,7,357.44,3.11,2.504,0.04,  3.078(49)e+38
357,20210929,59485.78527218500000000000 ,412.55,5.99,214.9,0.15,1.287,0.001,  3.602(56)e+38,  1.441(22)e+38,500,5.46,214.82,0.37,1.172,0.018,  1.441(22)e+38
358,20210929,59485.78532722600000000000 ,412.55,5.73,31.27,0.19,0.179,0.001,  5.010(84)e+37,  2.004(34)e+37,200,5.1,78.28,0.42,0.399,0.006,  1.962(31)e+37
359,20210929,59485.78541235000000000000 ,412.55,4.83,18,0.6,0.087,0.003,  2.435(28)e+37, 9.741(112)e+36,200,3.29,32.66,1.12,0.107,0.002,  5.284(90)e+36
360,20210929,59485.78551855000000000000 ,412.55,5.12,17.56,1.12,0.09,0.006,  2.519(28)e+37,  1.008(11)e+37,200,4.6,45.33,2.95,0.209,0.004,  1.026(18)e+37
361,20210929,59485.78552881600000000000 ,412.55,3.27,169.33,0.31,0.554,0.001,  1.551(25)e+38, 6.203(101)e+37,400,2.98,219.8,0.54,0.655,0.01,  6.440(99)e+37
362,20210929,59485.78553018600000000000 ,412.55,3.96,12.12,0.4,0.048,0.002,  1.344(28)e+37, 5.374(112)e+36,200,2.75,41.79,1.07,0.115,0.002,  5.643(90)e+36
363,20210929,59485.78553050000000000000 ,412.55,5.55,50.82,0.66,0.282,0.004, 7.893(112)e+37,  3.157(45)e+37,300,5.14,107.6,1.71,0.553,0.008,  4.078(60)e+37
364,20210929,59485.78567241200000000000 ,412.55,8.14,190.17,2.36,1.548,0.019,  4.333(70)e+38,  1.733(28)e+38,450,7.41,202.98,3.21,1.505,0.024,  1.665(26)e+38
365,20210929,59485.78593176400000000000 ,412.55,6.12,426.61,2.77,2.61,0.017, 7.306(115)e+38,  2.922(46)e+38,300,5.86,670.45,3.78,3.932,0.059,  2.900(44)e+38
366,20210929,59485.78593330500000000000 ,412.55,10.2,38.54,5.27,0.393,0.054,  1.100(17)e+38,  4.400(67)e+37,300,6.79,83.68,6.51,0.568,0.009,  4.190(65)e+37
367,20210929,59485.78593391100000000000 ,412.55,4.52,31.17,1.28,0.141,0.006,  3.947(56)e+37,  1.579(22)e+37,200,4.02,76.1,1.75,0.306,0.005,  1.505(22)e+37
368,20210929,59485.78595373500000000000 ,412.55,1.64,22.53,0.98,0.037,0.002,  1.036(28)e+37, 4.142(112)e+36,200,1.32,39.44,1.45,0.052,0.001,  2.553(45)e+36
369,20210929,59485.78595405800000000000 ,412.55,2.86,10.82,0.41,0.031,0.001,   8.677(1)e+36,   3.471(1)e+36,300,2.85,20.16,0.88,0.057,0.001,  4.232(67)e+36
370,20210929,59485.78612566300000000000 ,412.55,4.39,81.78,1.07,0.359,0.005,  1.005(17)e+38,  4.019(67)e+37,200,4.24,208.84,2.28,0.886,0.014,  4.358(67)e+37
371,20210929,59485.78634730300000000000 ,412.55,7.12,86.56,1.36,0.616,0.01,  1.724(28)e+38, 6.897(112)e+37,500,6.49,86.62,2.29,0.562,0.009, 6.908(112)e+37
372,20210929,59485.78666869100000000000 ,412.55,2.3,23.5,2.82,0.054,0.006,  1.511(28)e+37, 6.046(112)e+36,450,1.84,25.2,5.61,0.046,0.001, 5.139(101)e+36
373,20210929,59485.78666938700000000000 ,412.55,2.5,19.6,4.39,0.049,0.011,  1.372(28)e+37, 5.486(112)e+36,200,2.72,31.11,7.49,0.085,0.002,  4.165(90)e+36
374,20210929,59485.78666987000000000000 ,412.55,2.4,21.65,0.14,0.052,0.001,  1.456(28)e+37, 5.822(112)e+36,250,2.91,38.54,0.78,0.112,0.002, 6.886(112)e+36
375,20210929,59485.78667639700000000000 ,412.55,3.7,16.21,0.34,0.06,0.001,  1.679(28)e+37, 6.718(112)e+36,150,4.79,36.88,0.8,0.177,0.003, 6.516(101)e+36
376,20210929,59485.78667716600000000000 ,412.55,2.77,13.7,0.13,0.038,0.001,  1.064(28)e+37, 4.254(112)e+36,200,2.32,31.04,0.58,0.072,0.001,  3.538(45)e+36
377,20210929,59485.78667754300000000000 ,412.55,5.14,276.75,0.09,1.422,0.001,  3.980(62)e+38,  1.592(25)e+38,250,4.55,663.82,0.18,3.023,0.044,  1.858(27)e+38
378,20210929,59485.78675896200000000000 ,412.55,7.21,33.4,0.66,0.241,0.005, 6.746(112)e+37,  2.698(45)e+37,350,6.61,43.43,1.3,0.287,0.005,  2.469(39)e+37
379,20210929,59485.78713793500000000000 ,412.55,4.18,14.13,5.49,0.059,0.023,  1.651(28)e+37, 6.606(112)e+36,100,3.17,66.04,11.86,0.209,0.005, 5.150(134)e+36
380,20210929,59485.78737387800000000000 ,412.55,11.1,47.49,4.49,0.527,0.05,  1.475(22)e+38,  5.900(90)e+37,200,9.16,123.4,8.1,1.13,0.016,  5.558(78)e+37
381,20210929,59485.78737462000000000000 ,412.55,2.74,14.26,0.19,0.039,0.001,  1.092(28)e+37, 4.366(112)e+36,100,4.87,43.61,0.27,0.212,0.005, 5.217(134)e+36
382,20210929,59485.78750340900000000000 ,412.55,3.3,22.72,0.15,0.075,0.001,  2.099(28)e+37, 8.397(112)e+36,150,3.86,54.76,0.35,0.211,0.003, 7.792(101)e+36
383,20210929,59485.78758417800000000000 ,412.55,2.05,26.37,1.52,0.054,0.003,  1.511(28)e+37, 6.046(112)e+36,250,1.91,42.39,1.93,0.081,0.001,  4.982(56)e+36
384,20210929,59485.78758440500000000000 ,412.55,3.4,288.24,0.2,0.98,0.001,  2.743(42)e+38,  1.097(17)e+38,500,3.05,288.06,0.53,0.878,0.013,  1.079(16)e+38
385,20210929,59485.78758507400000000000 ,412.55,7.26,72.55,0.09,0.527,0.001,  1.475(22)e+38,  5.900(90)e+37,300,6.64,145.22,0.56,0.965,0.014, 7.114(101)e+37
386,20210929,59485.78764105000000000000 ,412.55,8.72,114.07,0.14,0.995,0.001,  2.785(42)e+38,  1.114(17)e+38,350,8.11,158.41,0.39,1.285,0.019,  1.106(16)e+38
387,20210929,59485.78764145900000000000 ,412.55,3.03,15.19,1.93,0.046,0.006,  1.288(28)e+37, 5.150(112)e+36,200,2.41,41.98,2.12,0.101,0.002,  4.971(90)e+36
388,20210929,59485.78764165500000000000 ,412.55,9.68,21.48,1.18,0.208,0.011,  5.822(84)e+37,  2.329(34)e+37,250,9.13,51.75,1.32,0.473,0.006,  2.905(39)e+37
389,20210929,59485.78787047000000000000 ,412.55,5.02,374.99,0.61,1.882,0.003,  5.268(81)e+38,  2.107(32)e+38,400,4.53,468.15,1.58,2.119,0.032,  2.084(31)e+38
390,20210929,59485.78793131500000000000 ,412.55,3.27,46.74,0.16,0.153,0.001,  4.282(56)e+37,  1.713(22)e+37,200,3.18,113.53,0.43,0.362,0.005,  1.778(27)e+37
391,20210929,59485.78794013300000000000 ,412.55,4.68,29.48,4.48,0.138,0.021,  3.863(56)e+37,  1.545(22)e+37,150,5.25,81.59,7,0.428,0.006,  1.579(24)e+37
392,20210929,59485.78794037900000000000 ,412.55,2.98,12.42,3.04,0.037,0.009,  1.036(28)e+37, 4.142(112)e+36,100,2.09,57.53,3.48,0.12,0.003,  2.956(67)e+36
393,20210929,59485.78796647700000000000 ,412.55,4.92,17.9,2,0.088,0.01,  2.463(28)e+37, 9.853(112)e+36,250,3.5,41.32,5.04,0.145,0.002, 8.901(112)e+36
394,20210929,59485.78796722300000000000 ,412.55,5.1,189.12,1.8,0.964,0.009,  2.698(42)e+38,  1.079(17)e+38,350,5.12,265.72,1.8,1.359,0.02,  1.170(17)e+38
395,20210929,59485.78803403100000000000 ,412.55,4.16,99.97,2.83,0.416,0.012,  1.164(17)e+38,  4.658(67)e+37,200,3.84,252.16,4.8,0.969,0.015,  4.765(72)e+37
396,20210929,59485.78822213800000000000 ,412.55,5.42,18.08,3.28,0.098,0.018,  2.743(56)e+37,  1.097(22)e+37,200,4.95,44.72,4.3,0.221,0.004,  1.088(18)e+37
397,20210929,59485.78843296300000000000 ,412.55,3.51,47.31,2.14,0.166,0.007,  4.646(56)e+37,  1.858(22)e+37,200,3.07,91.37,2.81,0.281,0.005,  1.379(22)e+37
398,20210929,59485.78843361400000000000 ,412.55,2.7,20.77,0.7,0.056,0.002,  1.567(28)e+37, 6.270(112)e+36,300,2.83,32.46,1.67,0.092,0.001,  6.785(67)e+36
399,20210929,59485.78846636600000000000 ,412.55,5.36,88.58,0.32,0.475,0.002,  1.330(20)e+38,  5.318(78)e+37,500,4.91,88.36,0.53,0.434,0.006,  5.329(78)e+37
400,20210929,59485.78854161800000000000 ,412.55,8.15,210.76,1.21,1.718,0.01,  4.809(73)e+38,  1.924(29)e+38,500,7.41,210.48,2.64,1.559,0.024,  1.917(29)e+38
401,20210929,59485.78863649400000000000 ,412.55,4.36,133.13,2.86,0.58,0.012,  1.623(25)e+38, 6.494(101)e+37,300,3.95,208.21,1.2,0.822,0.012,  6.059(87)e+37
402,20210929,59485.78863777000000000000 ,412.55,9.61,72.39,3.77,0.696,0.036,  1.948(28)e+38, 7.792(112)e+37,250,9.07,124.48,3.76,1.128,0.017, 6.936(106)e+37
403,20210929,59485.78879296400000000000 ,412.55,4.88,29.93,0.69,0.146,0.003,  4.087(56)e+37,  1.635(22)e+37,350,4.42,39.96,1.12,0.177,0.003,  1.520(24)e+37
404,20210929,59485.78892766100000000000 ,412.55,2.37,10.96,0.39,0.026,0.001,   7.278(1)e+36,   2.911(1)e+36,200,1.89,26.05,0.94,0.049,0.001,  2.418(45)e+36
